"","Chemical.class","Standard.match"
"HILIC-pos_Cluster_0893","Dipeptides",NA
"HILIC-pos_Cluster_0894","Dipeptides",NA
"HILIC-pos_Cluster_0895","Dipeptides",NA
"HILIC-pos_Cluster_0896",NA,NA
"HILIC-pos_Cluster_0897","Lineolic acids and derivatives",NA
"HILIC-pos_Cluster_0898","Quinolines and derivatives",NA
"HILIC-pos_Cluster_0899","Fatty amides",NA
"HILIC-pos_Cluster_0901",NA,NA
"HILIC-pos_Cluster_0902","Guaianolides and derivatives",NA
"HILIC-pos_Cluster_0903","Cinnamic acids and derivatives",NA
"HILIC-pos_Cluster_0905",NA,NA
"HILIC-pos_Cluster_0907","Fatty amides",NA
"HILIC-pos_Cluster_0908",NA,NA
"HILIC-pos_Cluster_0909",NA,NA
"HILIC-pos_Cluster_0911","Polyethylene glycols",NA
"HILIC-pos_Cluster_0912","Fatty acid esters",NA
"HILIC-pos_Cluster_0916","Fatty amides",NA
"HILIC-pos_Cluster_0917","Fatty amides",NA
"HILIC-pos_Cluster_0918","Fatty amides",NA
"HILIC-pos_Cluster_0919",NA,NA
"HILIC-pos_Cluster_0920",NA,NA
"HILIC-pos_Cluster_0921",NA,NA
"HILIC-pos_Cluster_0923","Phenylacetamides",NA
"HILIC-pos_Cluster_0925",NA,NA
"HILIC-pos_Cluster_0926","Morphinans",NA
"HILIC-pos_Cluster_0928",NA,NA
"HILIC-pos_Cluster_0929",NA,NA
"HILIC-pos_Cluster_0931","Isoflavonoids",NA
"HILIC-pos_Cluster_0932","Fatty acyl glycosides of mono- and disaccharides",NA
"HILIC-pos_Cluster_0933",NA,NA
"HILIC-pos_Cluster_0934",NA,NA
"HILIC-pos_Cluster_0935",NA,NA
"HILIC-pos_Cluster_0938","Phenanthrenes and derivatives",NA
"HILIC-pos_Cluster_0939","Morphinans",NA
"HILIC-pos_Cluster_0940",NA,NA
"HILIC-pos_Cluster_0941",NA,NA
"HILIC-pos_Cluster_0942","Dipeptides",NA
"HILIC-pos_Cluster_0943","Dipeptides",NA
"HILIC-pos_Cluster_0944",NA,NA
"HILIC-pos_Cluster_0945",NA,NA
"HILIC-pos_Cluster_0946","Flavonoids",NA
"HILIC-pos_Cluster_0947",NA,NA
"HILIC-pos_Cluster_0948",NA,NA
"HILIC-pos_Cluster_0949",NA,NA
"HILIC-pos_Cluster_0951",NA,NA
"HILIC-pos_Cluster_0953",NA,NA
"HILIC-pos_Cluster_0954",NA,NA
"HILIC-pos_Cluster_0955",NA,NA
"HILIC-pos_Cluster_0956",NA,NA
"HILIC-pos_Cluster_0957",NA,NA
"HILIC-pos_Cluster_0959","Quinolines and derivatives",NA
"HILIC-pos_Cluster_0960","Quinolines and derivatives",NA
"HILIC-pos_Cluster_0961","Lineolic acids and derivatives",NA
"HILIC-pos_Cluster_0963",NA,NA
"HILIC-pos_Cluster_0964",NA,NA
"HILIC-pos_Cluster_0965",NA,NA
"HILIC-pos_Cluster_0966","Tetracarboxylic acids and derivatives",NA
"HILIC-pos_Cluster_0967","Alpha amino acids",NA
"HILIC-pos_Cluster_0968","Alpha amino acids",NA
"HILIC-pos_Cluster_0969",NA,NA
"HILIC-pos_Cluster_0970",NA,NA
"HILIC-pos_Cluster_0973","Phenols",NA
"HILIC-pos_Cluster_0976",NA,NA
"HILIC-pos_Cluster_0977",NA,NA
"HILIC-pos_Cluster_0978","Benzopyrazoles",NA
"HILIC-pos_Cluster_0980","Cinnamic acids and derivatives",NA
"HILIC-pos_Cluster_0981","Fatty acids and conjugates",NA
"HILIC-pos_Cluster_0982","Lineolic acids and derivatives",NA
"HILIC-pos_Cluster_0983",NA,NA
"HILIC-pos_Cluster_0985","Organonitrogen compounds",NA
"HILIC-pos_Cluster_0987",NA,NA
"HILIC-pos_Cluster_0989",NA,NA
"HILIC-pos_Cluster_0990",NA,NA
"HILIC-pos_Cluster_0993",NA,NA
"HILIC-pos_Cluster_0995",NA,NA
"HILIC-pos_Cluster_1000","Benzoxazines",NA
"HILIC-pos_Cluster_1001",NA,NA
"HILIC-pos_Cluster_1002",NA,NA
"HILIC-pos_Cluster_1003",NA,NA
"HILIC-pos_Cluster_1004",NA,NA
"HILIC-pos_Cluster_1005",NA,NA
"HILIC-pos_Cluster_1006",NA,NA
"HILIC-pos_Cluster_1008","Retinoids",NA
"HILIC-pos_Cluster_1011","Acylaminosugars",NA
"HILIC-pos_Cluster_1012","Quinolines and derivatives",NA
"HILIC-pos_Cluster_1015",NA,NA
"HILIC-pos_Cluster_1016",NA,NA
"HILIC-pos_Cluster_1018","Isoflavonoids",NA
"HILIC-pos_Cluster_1019",NA,NA
"HILIC-pos_Cluster_1020",NA,NA
"HILIC-pos_Cluster_1021",NA,NA
"HILIC-pos_Cluster_1022","Dipeptides",NA
"HILIC-pos_Cluster_1023",NA,NA
"HILIC-pos_Cluster_1025",NA,NA
"HILIC-pos_Cluster_1026",NA,NA
"HILIC-pos_Cluster_1027",NA,NA
"HILIC-pos_Cluster_1028","Androgens and derivatives",NA
"HILIC-pos_Cluster_1030","Tricarboxylic acids and derivatives",NA
"HILIC-pos_Cluster_1032",NA,NA
"HILIC-pos_Cluster_1033",NA,NA
"HILIC-pos_Cluster_1034",NA,NA
"HILIC-pos_Cluster_1035",NA,NA
"HILIC-pos_Cluster_1036","Amino acids, peptides, and analogues",NA
"HILIC-pos_Cluster_1037","Diazines",NA
"HILIC-pos_Cluster_1038",NA,NA
"HILIC-pos_Cluster_1039",NA,NA
"HILIC-pos_Cluster_1042","Phenols and derivatives",NA
"HILIC-pos_Cluster_1043",NA,NA
"HILIC-pos_Cluster_1045",NA,NA
"HILIC-pos_Cluster_1046",NA,NA
"HILIC-pos_Cluster_1048","Cinnamic acids and derivatives",NA
"HILIC-pos_Cluster_1051",NA,NA
"HILIC-pos_Cluster_1052",NA,NA
"HILIC-pos_Cluster_1053","Quinolines and derivatives",NA
"HILIC-pos_Cluster_1057","Ketones",NA
"HILIC-pos_Cluster_1062","Dipeptides",NA
"HILIC-pos_Cluster_1063","Dipeptides",NA
"HILIC-pos_Cluster_1064","Pyrrolidines",NA
"HILIC-pos_Cluster_1065","Pyrrolidines",NA
"HILIC-pos_Cluster_1067",NA,NA
"HILIC-pos_Cluster_1068",NA,NA
"HILIC-pos_Cluster_1069","Monocyclic monoterpenoids",NA
"HILIC-pos_Cluster_1071",NA,NA
"HILIC-pos_Cluster_1072",NA,NA
"HILIC-pos_Cluster_1074",NA,NA
"HILIC-pos_Cluster_1075","Fatty acid esters",NA
"HILIC-pos_Cluster_1076",NA,NA
"HILIC-pos_Cluster_1077",NA,NA
"HILIC-pos_Cluster_1079",NA,NA
"HILIC-pos_Cluster_1080","Dipeptides",NA
"HILIC-pos_Cluster_1082",NA,NA
"HILIC-pos_Cluster_1085",NA,NA
"HILIC-pos_Cluster_1086","Erythrinanes",NA
"HILIC-pos_Cluster_1087",NA,NA
"HILIC-pos_Cluster_1088",NA,NA
"HILIC-pos_Cluster_1089","Glycinamide ribonucleotides",NA
"HILIC-pos_Cluster_1091",NA,NA
"HILIC-pos_Cluster_1092","Fatty acid esters",NA
"HILIC-pos_Cluster_1094",NA,NA
"HILIC-pos_Cluster_1095","Harmala alkaloids",NA
"HILIC-pos_Cluster_1096","Benzodioxoles",NA
"HILIC-pos_Cluster_1098","Organonitrogen compounds",NA
"HILIC-pos_Cluster_1101",NA,NA
"HILIC-pos_Cluster_1103",NA,NA
"HILIC-pos_Cluster_1105","Retinoids",NA
"HILIC-pos_Cluster_1106",NA,NA
"HILIC-pos_Cluster_1107","Gluco/mineralocorticoids, progestogins and derivatives",NA
"HILIC-pos_Cluster_1108","Gluco/mineralocorticoids, progestogins and derivatives",NA
"HILIC-pos_Cluster_1110","Dipeptides",NA
"HILIC-pos_Cluster_1111","Dipeptides",NA
"HILIC-pos_Cluster_1114",NA,NA
"HILIC-pos_Cluster_1115",NA,NA
"HILIC-pos_Cluster_1116","Trifluoromethylbenzenes",NA
"HILIC-pos_Cluster_1117","Trifluoromethylbenzenes",NA
"HILIC-pos_Cluster_1118",NA,NA
"HILIC-pos_Cluster_1120",NA,NA
"HILIC-pos_Cluster_1121",NA,NA
"HILIC-pos_Cluster_1122","Trifluoromethylbenzenes",NA
"HILIC-pos_Cluster_1123","Trifluoromethylbenzenes",NA
"HILIC-pos_Cluster_1124","Trifluoromethylbenzenes",NA
"HILIC-pos_Cluster_1125","Cinnamic acids and derivatives",NA
"HILIC-pos_Cluster_1126","Gluco/mineralocorticoids, progestogins and derivatives",NA
"HILIC-pos_Cluster_1130","Benzopyrans",NA
"HILIC-pos_Cluster_1132",NA,NA
"HILIC-pos_Cluster_1135",NA,NA
"HILIC-pos_Cluster_1136",NA,NA
"HILIC-pos_Cluster_1137","Gluco/mineralocorticoids, progestogins and derivatives",NA
"HILIC-pos_Cluster_1140","Organonitrogen compounds",NA
"HILIC-pos_Cluster_1141","N-glucuronides",NA
"HILIC-pos_Cluster_1142","Benzothiazines",NA
"HILIC-pos_Cluster_1143","Benzothiazines",NA
"HILIC-pos_Cluster_1145",NA,NA
"HILIC-pos_Cluster_1146",NA,NA
"HILIC-pos_Cluster_1147",NA,NA
"HILIC-pos_Cluster_1152","Organonitrogen compounds",NA
"HILIC-pos_Cluster_1153",NA,NA
"HILIC-pos_Cluster_1154",NA,NA
"HILIC-pos_Cluster_1157","Pteridines and derivatives",NA
"HILIC-pos_Cluster_1158",NA,NA
"HILIC-pos_Cluster_1159","Organonitrogen compounds",NA
"HILIC-pos_Cluster_1162",NA,NA
"HILIC-pos_Cluster_1163","Benzenesulfonic acids and derivatives",NA
"HILIC-pos_Cluster_1165",NA,NA
"HILIC-pos_Cluster_1166",NA,NA
"HILIC-pos_Cluster_1168",NA,NA
"HILIC-pos_Cluster_1169","Organonitrogen compounds",NA
"HILIC-pos_Cluster_1170","Organonitrogen compounds",NA
"HILIC-pos_Cluster_1171",NA,NA
"HILIC-pos_Cluster_1173",NA,NA
"HILIC-pos_Cluster_1174","Benzodiazepines",NA
"HILIC-pos_Cluster_1177",NA,NA
"HILIC-pos_Cluster_1178",NA,NA
"HILIC-pos_Cluster_1180",NA,NA
"HILIC-pos_Cluster_1181","Acyl carnitines",NA
"HILIC-pos_Cluster_1182",NA,NA
"HILIC-pos_Cluster_1183",NA,NA
"HILIC-pos_Cluster_1184","Biphenols",NA
"HILIC-pos_Cluster_1185",NA,NA
"HILIC-pos_Cluster_1187","Secondary alcohols",NA
"HILIC-pos_Cluster_1188",NA,NA
"HILIC-pos_Cluster_1190",NA,NA
"HILIC-pos_Cluster_1192","Benzamides",NA
"HILIC-pos_Cluster_1193","Benzamides",NA
"HILIC-pos_Cluster_1194",NA,NA
"HILIC-pos_Cluster_1195",NA,NA
"HILIC-pos_Cluster_1197",NA,NA
"HILIC-pos_Cluster_1199","N-acyl amines",NA
"HILIC-pos_Cluster_1200","N-acyl amines",NA
"HILIC-pos_Cluster_1201",NA,NA
"HILIC-pos_Cluster_1202",NA,NA
"HILIC-pos_Cluster_1203","Benzopyrans",NA
"HILIC-pos_Cluster_1204","Benzopyrans",NA
"HILIC-pos_Cluster_1207","Phenols",NA
"HILIC-pos_Cluster_1208",NA,NA
"HILIC-pos_Cluster_1209","N-acyl amines",NA
"HILIC-pos_Cluster_1210","N-acyl amines",NA
"HILIC-pos_Cluster_1211",NA,NA
"HILIC-pos_Cluster_1212",NA,NA
"HILIC-pos_Cluster_1213",NA,NA
"HILIC-pos_Cluster_1214",NA,NA
"HILIC-pos_Cluster_1219",NA,NA
"HILIC-pos_Cluster_1220","Tetrahydrofurans",NA
"HILIC-pos_Cluster_1221","Gluco/mineralocorticoids, progestogins and derivatives",NA
"HILIC-pos_Cluster_1222","Tetrahydrofurans",NA
"HILIC-pos_Cluster_1223",NA,NA
"HILIC-pos_Cluster_1224",NA,NA
"HILIC-pos_Cluster_1227",NA,NA
"HILIC-pos_Cluster_1228",NA,NA
"HILIC-pos_Cluster_1229",NA,NA
"HILIC-pos_Cluster_1230",NA,NA
"HILIC-pos_Cluster_1231",NA,NA
"HILIC-pos_Cluster_1232","N-acyl-alpha amino acids",NA
"HILIC-pos_Cluster_1235",NA,NA
"HILIC-pos_Cluster_1236","Fatty alcohols",NA
"HILIC-pos_Cluster_1237","Fatty alcohols",NA
"HILIC-pos_Cluster_1238","Fatty alcohols",NA
"HILIC-pos_Cluster_1239",NA,NA
"HILIC-pos_Cluster_1241","Fatty acyl glycosides of mono- and disaccharides",NA
"HILIC-pos_Cluster_1242","Aminocyclitol glycosides",NA
"HILIC-pos_Cluster_1244",NA,NA
"HILIC-pos_Cluster_1245","N-acyl-alpha amino acids",NA
"HILIC-pos_Cluster_1247",NA,NA
"HILIC-pos_Cluster_1248",NA,NA
"HILIC-pos_Cluster_1249",NA,NA
"HILIC-pos_Cluster_1250",NA,NA
"HILIC-pos_Cluster_1251",NA,NA
"HILIC-pos_Cluster_1252",NA,NA
"HILIC-pos_Cluster_1254","Acyl carnitines",NA
"HILIC-pos_Cluster_1255",NA,NA
"HILIC-pos_Cluster_1257","Long-chain fatty acids",NA
"HILIC-pos_Cluster_1259","Flavonoids",NA
"HILIC-pos_Cluster_1261","Dipeptides",NA
"HILIC-pos_Cluster_1262","Dipeptides",NA
"HILIC-pos_Cluster_1263",NA,NA
"HILIC-pos_Cluster_1264",NA,NA
"HILIC-pos_Cluster_1268","Phenylmethylamines",NA
"HILIC-pos_Cluster_1269",NA,NA
"HILIC-pos_Cluster_1270","Benzodiazepines",NA
"HILIC-pos_Cluster_1271",NA,NA
"HILIC-pos_Cluster_1272","Galloyl esters",NA
"HILIC-pos_Cluster_1273","Benzamides",NA
"HILIC-pos_Cluster_1274",NA,NA
"HILIC-pos_Cluster_1276",NA,NA
"HILIC-pos_Cluster_1277",NA,NA
"HILIC-pos_Cluster_1278",NA,NA
"HILIC-pos_Cluster_1279",NA,NA
"HILIC-pos_Cluster_1280","Kaurane diterpenoids",NA
"HILIC-pos_Cluster_1281",NA,NA
"HILIC-pos_Cluster_1282","Piperidines",NA
"HILIC-pos_Cluster_1283",NA,NA
"HILIC-pos_Cluster_1284",NA,NA
"HILIC-pos_Cluster_1285","Tryptamines and derivatives",NA
"HILIC-pos_Cluster_1286",NA,NA
"HILIC-pos_Cluster_1287",NA,NA
"HILIC-pos_Cluster_1288","Lineolic acids and derivatives",NA
"HILIC-pos_Cluster_1289","Lineolic acids and derivatives",NA
"HILIC-pos_Cluster_1290",NA,NA
"HILIC-pos_Cluster_1291",NA,NA
"HILIC-pos_Cluster_1292",NA,NA
"HILIC-pos_Cluster_1293",NA,NA
"HILIC-pos_Cluster_1294","Phenol ethers",NA
"HILIC-pos_Cluster_1295","Phenol ethers",NA
"HILIC-pos_Cluster_1296","Lineolic acids and derivatives",NA
"HILIC-pos_Cluster_1297","Lineolic acids and derivatives",NA
"HILIC-pos_Cluster_1298",NA,NA
"HILIC-pos_Cluster_1300","Benzodioxoles",NA
"HILIC-pos_Cluster_1301",NA,NA
"HILIC-pos_Cluster_1302",NA,NA
"HILIC-pos_Cluster_1303",NA,NA
"HILIC-pos_Cluster_1305","Very long-chain fatty acids",NA
"HILIC-pos_Cluster_1306","Very long-chain fatty acids",NA
"HILIC-pos_Cluster_1307","Very long-chain fatty acids",NA
"HILIC-pos_Cluster_1308","1-alkyl,3-acylglycerols",NA
"HILIC-pos_Cluster_1309",NA,NA
"HILIC-pos_Cluster_1310",NA,NA
"HILIC-pos_Cluster_1312",NA,NA
"HILIC-pos_Cluster_1313",NA,NA
"HILIC-pos_Cluster_1314","Oligopeptides",NA
"HILIC-pos_Cluster_1315","Oligopeptides",NA
"HILIC-pos_Cluster_1316",NA,NA
"HILIC-pos_Cluster_1319","Alkyl-phenylketones",NA
"HILIC-pos_Cluster_1320",NA,NA
"HILIC-pos_Cluster_1321",NA,NA
"HILIC-pos_Cluster_1322","Stilbenes",NA
"HILIC-pos_Cluster_1323",NA,NA
"HILIC-pos_Cluster_1324",NA,NA
"HILIC-pos_Cluster_1325",NA,NA
"HILIC-pos_Cluster_1326","Gluco/mineralocorticoids, progestogins and derivatives",NA
"HILIC-pos_Cluster_1327",NA,NA
"HILIC-pos_Cluster_1328",NA,NA
"HILIC-pos_Cluster_1329",NA,NA
"HILIC-pos_Cluster_1330",NA,NA
"HILIC-pos_Cluster_1332",NA,NA
"HILIC-pos_Cluster_1333","N-acyl amines",NA
"HILIC-pos_Cluster_1337",NA,NA
"HILIC-pos_Cluster_1338","Coumarins and derivatives",NA
"HILIC-pos_Cluster_1339","Coumarins and derivatives",NA
"HILIC-pos_Cluster_1340","Coumarins and derivatives",NA
"HILIC-pos_Cluster_1341","Coumarins and derivatives",NA
"HILIC-pos_Cluster_1342","Diterpenoids",NA
"HILIC-pos_Cluster_1343",NA,NA
"HILIC-pos_Cluster_1344","Pyrans",NA
"HILIC-pos_Cluster_1347","Amino acids, peptides, and analogues",NA
"HILIC-pos_Cluster_1348","Sulfated steroids",NA
"HILIC-pos_Cluster_1349",NA,NA
"HILIC-pos_Cluster_1350",NA,NA
"HILIC-pos_Cluster_1351",NA,NA
"HILIC-pos_Cluster_1353",NA,NA
"HILIC-pos_Cluster_1354",NA,NA
"HILIC-pos_Cluster_1355",NA,NA
"HILIC-pos_Cluster_1356","Isoflavonoids",NA
"HILIC-pos_Cluster_1357",NA,NA
"HILIC-pos_Cluster_1358",NA,NA
"HILIC-pos_Cluster_1360",NA,NA
"HILIC-pos_Cluster_1363","Steroid esters",NA
"HILIC-pos_Cluster_1364","Amino acids, peptides, and analogues",NA
"HILIC-pos_Cluster_1365",NA,NA
"HILIC-pos_Cluster_1366",NA,NA
"HILIC-pos_Cluster_1367","Benzoic acids and derivatives",NA
"HILIC-pos_Cluster_1368","Benzoic acids and derivatives",NA
"HILIC-pos_Cluster_1369","Cholestane steroids",NA
"HILIC-pos_Cluster_1371",NA,NA
"HILIC-pos_Cluster_1372",NA,NA
"HILIC-pos_Cluster_1373","Carbohydrates and carbohydrate conjugates",NA
"HILIC-pos_Cluster_1377","Benzopyrans",NA
"HILIC-pos_Cluster_1378","Benzopyrans",NA
"HILIC-pos_Cluster_1379",NA,NA
"HILIC-pos_Cluster_1380",NA,NA
"HILIC-pos_Cluster_1382",NA,NA
"HILIC-pos_Cluster_1383","Cinnamic acids and derivatives",NA
"HILIC-pos_Cluster_1384",NA,NA
"HILIC-pos_Cluster_1385","Salicylic acids",NA
"HILIC-pos_Cluster_1387","Salicylic acids",NA
"HILIC-pos_Cluster_1388",NA,NA
"HILIC-pos_Cluster_1390","Benzopyrans",NA
"HILIC-pos_Cluster_1391",NA,NA
"HILIC-pos_Cluster_1392",NA,NA
"HILIC-pos_Cluster_1393",NA,NA
"HILIC-pos_Cluster_1397",NA,NA
"HILIC-pos_Cluster_1398","Long-chain fatty alcohols",NA
"HILIC-pos_Cluster_1399",NA,NA
"HILIC-pos_Cluster_1401",NA,NA
"HILIC-pos_Cluster_1402",NA,NA
"HILIC-pos_Cluster_1403","Long-chain fatty alcohols",NA
"HILIC-pos_Cluster_1404",NA,NA
"HILIC-pos_Cluster_1405",NA,NA
"HILIC-pos_Cluster_1406",NA,NA
"HILIC-pos_Cluster_1408",NA,NA
"HILIC-pos_Cluster_1410",NA,NA
"HILIC-pos_Cluster_1411",NA,NA
"HILIC-pos_Cluster_1412","Sesquiterpenoids",NA
"HILIC-pos_Cluster_1413","Sesquiterpenoids",NA
"HILIC-pos_Cluster_1414",NA,NA
"HILIC-pos_Cluster_1415",NA,NA
"HILIC-pos_Cluster_1418",NA,NA
"HILIC-pos_Cluster_1419",NA,NA
"HILIC-pos_Cluster_1421","Benzodioxoles",NA
"HILIC-pos_Cluster_1422",NA,NA
"HILIC-pos_Cluster_1423",NA,NA
"HILIC-pos_Cluster_1424",NA,NA
"HILIC-pos_Cluster_1426",NA,NA
"HILIC-pos_Cluster_1430",NA,NA
"HILIC-pos_Cluster_1433","Coumarins and derivatives",NA
"HILIC-pos_Cluster_1436","Acyclic diterpenoids",NA
"HILIC-pos_Cluster_1438","Indoles and derivatives",NA
"HILIC-pos_Cluster_1439",NA,NA
"HILIC-pos_Cluster_1440",NA,NA
"HILIC-pos_Cluster_1441",NA,NA
"HILIC-pos_Cluster_1442",NA,NA
"HILIC-pos_Cluster_1443","Hydroxybenzoic acid derivatives",NA
"HILIC-pos_Cluster_1444",NA,NA
"HILIC-pos_Cluster_1445",NA,NA
"HILIC-pos_Cluster_1446",NA,NA
"HILIC-pos_Cluster_1447",NA,NA
"HILIC-pos_Cluster_1449","Indoles and derivatives",NA
"HILIC-pos_Cluster_1450",NA,NA
"HILIC-pos_Cluster_1451",NA,NA
"HILIC-pos_Cluster_1452","Ergosterols and derivatives",NA
"HILIC-pos_Cluster_1453",NA,NA
"HILIC-pos_Cluster_1454",NA,NA
"HILIC-pos_Cluster_1455",NA,NA
"HILIC-pos_Cluster_1457",NA,NA
"HILIC-pos_Cluster_1458",NA,NA
"HILIC-pos_Cluster_1460",NA,NA
"HILIC-pos_Cluster_1461",NA,NA
"HILIC-pos_Cluster_1462",NA,NA
"HILIC-pos_Cluster_1463",NA,NA
"HILIC-pos_Cluster_1464","Benzopyrans",NA
"HILIC-pos_Cluster_1465","Benzopyrans",NA
"HILIC-pos_Cluster_1466","Flavonoids",NA
"HILIC-pos_Cluster_1468",NA,NA
"HILIC-pos_Cluster_1470","Sesterterpenoids",NA
"HILIC-pos_Cluster_1471",NA,NA
"HILIC-pos_Cluster_1472",NA,NA
"HILIC-pos_Cluster_1473",NA,NA
"HILIC-pos_Cluster_1474",NA,NA
"HILIC-pos_Cluster_1475","Prostaglandins and related compounds",NA
"HILIC-pos_Cluster_1476","Fatty acid esters",NA
"HILIC-pos_Cluster_1478",NA,NA
"HILIC-pos_Cluster_1480",NA,NA
"HILIC-pos_Cluster_1481",NA,NA
"HILIC-pos_Cluster_1482",NA,NA
"HILIC-pos_Cluster_1483",NA,NA
"HILIC-pos_Cluster_1484",NA,NA
"HILIC-pos_Cluster_1485","Ergostane steroids",NA
"HILIC-pos_Cluster_1488",NA,NA
"HILIC-pos_Cluster_1489",NA,NA
"HILIC-pos_Cluster_1491","Dihydroxy bile acids, alcohols and derivatives",NA
"HILIC-pos_Cluster_1492","Dihydroxy bile acids, alcohols and derivatives",NA
"HILIC-pos_Cluster_1494",NA,NA
"HILIC-pos_Cluster_1495","Phenol esters",NA
"HILIC-pos_Cluster_1497",NA,NA
"HILIC-pos_Cluster_1501",NA,NA
"HILIC-pos_Cluster_1502",NA,NA
"HILIC-pos_Cluster_1503",NA,NA
"HILIC-pos_Cluster_1504",NA,NA
"HILIC-pos_Cluster_1505","Diterpenoids",NA
"HILIC-pos_Cluster_1506","Diterpenoids",NA
"HILIC-pos_Cluster_1508",NA,NA
"HILIC-pos_Cluster_1509",NA,NA
"HILIC-pos_Cluster_1510",NA,NA
"HILIC-pos_Cluster_1511",NA,NA
"HILIC-pos_Cluster_1512",NA,NA
"HILIC-pos_Cluster_1514",NA,NA
"HILIC-pos_Cluster_1515",NA,NA
"HILIC-pos_Cluster_1517",NA,NA
"HILIC-pos_Cluster_1518",NA,NA
"HILIC-pos_Cluster_1520","Diphenylmethanes",NA
"HILIC-pos_Cluster_1523","Ergosterols and derivatives",NA
"HILIC-pos_Cluster_1525",NA,NA
"HILIC-pos_Cluster_1526",NA,NA
"HILIC-pos_Cluster_1527",NA,NA
"HILIC-pos_Cluster_1528",NA,NA
"HILIC-pos_Cluster_1529",NA,NA
"HILIC-pos_Cluster_1530","Spirosolanes and derivatives",NA
"HILIC-pos_Cluster_1533",NA,NA
"HILIC-pos_Cluster_1534","Coumarins and derivatives",NA
"HILIC-pos_Cluster_1535",NA,NA
"HILIC-pos_Cluster_1536","Hydroxysteroids",NA
"HILIC-pos_Cluster_1537",NA,NA
"HILIC-pos_Cluster_1538",NA,NA
"HILIC-pos_Cluster_1539",NA,NA
"HILIC-pos_Cluster_1540","Benzyl alcohols",NA
"HILIC-pos_Cluster_1541",NA,NA
"HILIC-pos_Cluster_1544",NA,NA
"HILIC-pos_Cluster_1545",NA,NA
"HILIC-pos_Cluster_1546",NA,NA
"HILIC-pos_Cluster_1547",NA,NA
"HILIC-pos_Cluster_1548","Vitamin D and derivatives",NA
"HILIC-pos_Cluster_1549","Vitamin D and derivatives",NA
"HILIC-pos_Cluster_1551",NA,NA
"HILIC-pos_Cluster_1552",NA,NA
"HILIC-pos_Cluster_1553",NA,NA
"HILIC-pos_Cluster_1554",NA,NA
"HILIC-pos_Cluster_1555",NA,NA
"HILIC-pos_Cluster_1556",NA,NA
"HILIC-pos_Cluster_1557",NA,NA
"HILIC-pos_Cluster_1558","Cinnamic acids and derivatives",NA
"HILIC-pos_Cluster_1559",NA,NA
"HILIC-pos_Cluster_1560",NA,NA
"HILIC-pos_Cluster_1562",NA,NA
"HILIC-pos_Cluster_1563","Keto acids and derivatives",NA
"HILIC-pos_Cluster_1564",NA,NA
"HILIC-pos_Cluster_1568",NA,NA
"HILIC-pos_Cluster_1569",NA,NA
"HILIC-pos_Cluster_1570",NA,NA
"HILIC-pos_Cluster_1571","O-alkylglycerone phosphates",NA
"HILIC-pos_Cluster_1572",NA,NA
"HILIC-pos_Cluster_1573",NA,NA
"HILIC-pos_Cluster_1574",NA,NA
"HILIC-pos_Cluster_1575",NA,NA
"HILIC-pos_Cluster_1576",NA,NA
"HILIC-pos_Cluster_1577",NA,NA
"HILIC-pos_Cluster_1578",NA,NA
"HILIC-pos_Cluster_1581","Acyl carnitines",NA
"HILIC-pos_Cluster_1582",NA,NA
"HILIC-pos_Cluster_1584",NA,NA
"HILIC-pos_Cluster_1588",NA,NA
"HILIC-pos_Cluster_1591",NA,NA
"HILIC-pos_Cluster_1592",NA,NA
"HILIC-pos_Cluster_1594",NA,NA
"HILIC-pos_Cluster_1595","Cholesterols and derivatives",NA
"HILIC-pos_Cluster_1596",NA,NA
"HILIC-pos_Cluster_1597",NA,NA
"HILIC-pos_Cluster_1599","Amino acids, peptides, and analogues",NA
"HILIC-pos_Cluster_1600","Amino acids, peptides, and analogues",NA
"HILIC-pos_Cluster_1607",NA,NA
"HILIC-pos_Cluster_1608",NA,NA
"HILIC-pos_Cluster_1609",NA,NA
"HILIC-pos_Cluster_1610",NA,NA
"HILIC-pos_Cluster_1611",NA,NA
"HILIC-pos_Cluster_1617",NA,NA
"HILIC-pos_Cluster_1618",NA,NA
"HILIC-pos_Cluster_1620",NA,NA
"HILIC-pos_Cluster_1621",NA,NA
"HILIC-pos_Cluster_1622",NA,NA
"HILIC-pos_Cluster_1624","Flavonoids",NA
"HILIC-pos_Cluster_1625","Flavonoids",NA
"HILIC-pos_Cluster_1626",NA,NA
"HILIC-pos_Cluster_1627","Isoflavonoids",NA
"HILIC-pos_Cluster_1629",NA,NA
"HILIC-pos_Cluster_1630",NA,NA
"HILIC-pos_Cluster_1631",NA,NA
"HILIC-pos_Cluster_1632",NA,NA
"HILIC-pos_Cluster_1634","1-(1Z-alkenyl)-glycero-3-phosphoethanolamines",NA
"HILIC-pos_Cluster_1635",NA,NA
"HILIC-pos_Cluster_1636",NA,NA
"HILIC-pos_Cluster_1637","Sesquiterpenoids",NA
"HILIC-pos_Cluster_1639",NA,NA
"HILIC-pos_Cluster_1640","Kaurane diterpenoids",NA
"HILIC-pos_Cluster_1641",NA,NA
"HILIC-pos_Cluster_1642",NA,NA
"HILIC-pos_Cluster_1644","Trichothecenes",NA
"HILIC-pos_Cluster_1646","Hydroxycinnamic acids and derivatives",NA
"HILIC-pos_Cluster_1649","Triterpenoids",NA
"HILIC-pos_Cluster_1650","Triterpenoids",NA
"HILIC-pos_Cluster_1651",NA,NA
